Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0011586,-0.015077900000000002,0.061353851909739805,-0.13364368375,0.10453529624999995,Female
FBgn0011589,-0.010279940625000001,0.06365179688073248,-0.13504774249999998,0.11126841624999996,Female
FBgn0011591,4.821175e-4,0.06323842568407322,-0.12225900275,0.12230037124999994,Female
FBgn0011592,-0.035519375000000006,0.06264977131039966,-0.15640286874999998,0.08937051999999987,Female
FBgn0011596,-0.09776347499999999,0.06507736469284128,-0.2230017,0.028008156874999857,Female
FBgn0011603,0.02334585,0.0643034548179269,-0.10346322125,0.15027420499999997,Female
FBgn0011604,-0.014812700000000002,0.06319708289612504,-0.1410017525,0.10694474249999998,Female
FBgn0011606,-0.0380002,0.06298921312573226,-0.15779088749999998,0.0877243912499999,Female
FBgn0011638,-0.0742483,0.06286644562371851,-0.198170425,0.050875231249999923,Female
FBgn0011640,-0.0434852975,0.06220103802326165,-0.16354464249999998,0.07901172124999997,Female
FBgn0011642,0.044071955,0.06457244874985518,-0.08367880250000001,0.16874924499999996,Female
FBgn0011648,0.025273625,0.06362092088417345,-0.10031174875,0.14904931124999993,Female
FBgn0011653,0.10264277499999999,0.06304221656062359,-0.022081599999999993,0.2250425625,Female
FBgn0011655,-0.027259025,0.06248602571952567,-0.15090692625,0.09560442499999998,Female
FBgn0011656,0.014576449999999994,0.06514905911526146,-0.11272917125,0.1409272025,Female
FBgn0011659,0.004885250000000001,0.06407689129845756,-0.11980580249999999,0.1306018837499998,Female
FBgn0011660,-0.02747965,0.06302600840348285,-0.150806265,0.09904164775375,Female
FBgn0011661,-0.057674765,0.06309125316916855,-0.17977588749999998,0.06684583624999998,Female
FBgn0011666,0.049159875000000006,0.06246950178158906,-0.07342765125,0.1715403625,Female
FBgn0011668,-0.097725325,0.06293783581326186,-0.21836584250000002,0.028980719999999988,Female
FBgn0011669,0.02663595,0.06571722926789117,-0.10287275874999999,0.15262719874999997,Female
FBgn0011670,0.044250958,0.06473283296426711,-0.08597404,0.17019638874999984,Female
FBgn0011672,-0.09878590000000001,0.06449166172442203,-0.2238229875,0.02868766999999995,Female
FBgn0011674,0.037671575,0.06264958396555263,-0.08484686500000001,0.15995627499999998,Female
FBgn0011676,-0.107112,0.06330146297412693,-0.2282723125,0.018698571249999945,Female
FBgn0011692,-0.011637124999999995,0.06256605286369119,-0.13509946999999997,0.1097093587499997,Female
FBgn0011693,0.0029930000000000026,0.06534704648785393,-0.13125122,0.12930223062499985,Female
FBgn0011694,0.0066781615,0.0651941748026572,-0.12014443500000001,0.13445872749999996,Female
FBgn0011695,-0.08547107500000001,0.06253036701427006,-0.20516496250000002,0.03727384124999996,Female
FBgn0011701,0.006979457499999999,0.06431798479128097,-0.11850146874999998,0.13195494999999996,Female
FBgn0011703,0.0013814999999999938,0.06314002917684704,-0.12273124749999999,0.12428675249999992,Female
FBgn0011704,-0.042209025,0.0636233356608399,-0.1666866625,0.08486946874999982,Female
FBgn0011705,-0.012388725,0.062036161462565555,-0.132773155,0.10858432750000001,Female
FBgn0011706,0.029569625000000002,0.0636481115175567,-0.094953212875,0.1521927125,Female
FBgn0011708,0.003962499999999999,0.06355743785014809,-0.12233718,0.12594480875,Female
FBgn0011710,0.0155892475,0.06317022905095077,-0.1072883325,0.13987602249999995,Female
FBgn0011715,-0.0527856,0.06281715131488415,-0.173621275,0.06930071374999995,Female
FBgn0011722,-0.18151925000000002,0.06174229148265188,-0.2984975375,-0.05653866000000002,Female
FBgn0011723,-0.011564700000000004,0.06334543222111805,-0.1376717825,0.11064694249999985,Female
FBgn0011725,-0.02701258,0.06295614581330249,-0.14972957374999998,0.09670563374999998,Female
FBgn0011726,1.702749999999975e-4,0.06318316528437236,-0.12173586374999999,0.1228023499999997,Female
FBgn0011737,-0.02871485,0.0635565484127618,-0.15183892125,0.09632683037499999,Female
FBgn0011739,0.0340355,0.06427223675324595,-0.094469415,0.1602619624999999,Female
FBgn0011740,0.03327474,0.06359465349974601,-0.089388725875,0.16031115624999995,Female
FBgn0011741,-0.059904125,0.0625832987406458,-0.183104075,0.06406138874999998,Female
FBgn0011742,-0.003462375000000002,0.06195013155337989,-0.125639005,0.11917957499999997,Female
FBgn0011743,-0.06418125,0.06475062892030121,-0.19020986250000002,0.06495120875,Female
FBgn0011745,-0.0909936475,0.06325148495271753,-0.21247577500000003,0.0321127435,Female
FBgn0011746,0.039856685,0.0636288815201358,-0.08623674625000001,0.16426523374999993,Female
FBgn0011747,0.035456875,0.06670390253724343,-0.098508155,0.16553964999999995,Female
FBgn0011754,0.005579500000000001,0.06289643092009048,-0.117436115,0.13008724749999995,Female
FBgn0011758,0.061386875,0.06412925133853555,-0.06600323375,0.18536306249999998,Female
FBgn0011760,0.0920185,0.06289339903207665,-0.033078193874999995,0.21178310749999993,Female
FBgn0011761,-0.0344337,0.06266547600395624,-0.1562672625,0.08667034512499994,Female
FBgn0011762,-0.013768565,0.0652697014200973,-0.13982779374999998,0.11407396874999999,Female
FBgn0011763,-0.06974105,0.0630788389017166,-0.18951665750000002,0.05743516749999999,Female
FBgn0011766,0.09846930000000001,0.06454283030335921,-0.029640121250000002,0.22297726249999997,Female
FBgn0011768,-0.1406999,0.06187844992092771,-0.260015,-0.015942215375000016,Female
