DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_85,Exp 4,18,18,0
line_83,Exp 4,18,15,3
line_75,Exp 4,9,9,0
line_73,Exp 4,20,19,1
line_69,Exp 4,20,20,0
line_59,Exp 4,19,19,0
line_57,Exp 4,18,15,3
line_48,Exp 4,19,19,0
line_45,Exp 4,19,19,0
line_42,Exp 4,26,26,0
line_41,Exp 4,20,20,0
line_40,Exp 4,20,14,6
line_38,Exp 4,19,19,0
line_32,Exp 4,20,20,0
line_31,Exp 4,18,15,3
line_28,Exp 4,,,
line_26,Exp 4,15,15,0
line_21,Exp 4,33,33,0
line_913,Exp 5,19,0,19
line_911,Exp 5,18,18,0
line_908,Exp 5,19,19,0
line_907,Exp 5,20,1,19
line_900,Exp 5,19,19,0
line_897,Exp 5,20,6,14
line_894,Exp 5,19,19,0
line_892,Exp 5,19,19,0
line_890,Exp 5,20,20,0
line_887,Exp 5,20,20,0
line_884,Exp 5,19,17,2
line_882,Exp 5,18,5,13
line_879,Exp 5,20,7,13
line_861,Exp 5,19,19,0
line_859,Exp 5,19,18,1
line_857,Exp 5,18,16,2
line_855,Exp 5,20,20,0
line_853,Exp 5,,,
line_852,Exp 5,,,
line_850,Exp 5,19,19,0
line_849,Exp 5,20,11,9
line_843,Exp 5,20,10,10
line_837,Exp 5,20,5,15
line_832,Exp 5,15,7,8
line_822,Exp 5,20,20,0
line_821,Exp 5,20,19,1
line_820,Exp 5,20,19,1
line_819,Exp 5,20,20,0
line_818,Exp 5,20,20,0
line_812,Exp 5,20,20,0
line_810,Exp 5,19,14,5
line_808,Exp 5,20,19,1
line_805,Exp 5,20,20,0
line_804,Exp 5,20,20,0
line_802,Exp 5,17,17,0
line_801,Exp 5,19,19,0
line_799,Exp 5,19,19,0
line_796,Exp 5,20,0,20
line_790,Exp 5,20,1,19
line_787,Exp 5,20,18,2
line_786,Exp 5,20,5,15
line_783,Exp 5,19,19,0
line_776,Exp 5,19,17,2
line_774,Exp 5,20,3,17
line_765,Exp 5,19,19,0
line_761,Exp 5,19,19,0
line_757,Exp 5,18,4,14
line_748,Exp 5,20,18,2
line_738,Exp 5,19,19,0
line_737,Exp 5,20,20,0
line_732,Exp 5,19,19,0
line_730,Exp 5,21,5,16
line_727,Exp 5,10,10,0
line_721,Exp 5,15,15,0
line_716,Exp 5,19,19,0
